ModelID;ParameterEstimate
4;0
4;0
4;0
4;0.37301274920259
4;0.37662345989551
4;0.36649614300759
4;0.38869696100262
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0.56263938934543
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0.54648321463727
4;0.57318556372261
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0.52666496683916
4;0.53284026150605
4;0.53739129882979
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0.5469191683688
4;0.55646387088996
4;0.53461530875389
4;0.59106621211389
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0.60905115156669
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0.59728931587052
4;0.6211530013476
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0.57849672853194
4;0.58476491505694
4;0.58133957632139
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0.59589160706851
4;0.6037050370307
4;0.58406688374618
4;0.62083971852162
4;-0.9328804448591
4;-0.9323151306856
4;-0.9595971962343
4;-0.9322045374461
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
